severity_kw,duration_min,threshold_type,abs_thr_g,affects,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings,scenario,threshold_value,fp_rate_per_production_hour,threshold_pct,sigma_k
0.0,0.0,relative,,,247,,,,,,,0,no_anomaly,10.0,0.0,10.0,
0.0,0.0,relative,,,248,,,,,,,3,no_anomaly,10.0,0.24096385542168677,10.0,
0.0,0.0,relative,,,249,,,,,,,1,no_anomaly,10.0,0.0819672131147541,10.0,
1.5,240.0,relative,,machine,42,True,13.0,True,19.0,machine,True,1,with_anomaly,12.0,,12.0,
1.5,240.0,relative,,machine,43,True,10.0,True,16.0,machine,True,0,with_anomaly,12.0,,12.0,
1.5,240.0,relative,,machine,44,True,11.0,True,17.0,machine,True,2,with_anomaly,12.0,,12.0,
1.5,240.0,relative,,machine,45,True,21.0,True,27.0,machine,True,0,with_anomaly,12.0,,12.0,
1.5,240.0,relative,,machine,46,True,6.0,True,12.0,machine,True,1,with_anomaly,12.0,,12.0,
1.5,240.0,relative,,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,12.0,,12.0,
1.5,240.0,relative,,machine,48,True,5.0,True,11.0,machine,True,0,with_anomaly,12.0,,12.0,
1.5,240.0,relative,,machine,49,True,9.0,True,15.0,machine,True,0,with_anomaly,12.0,,12.0,
0.0,0.0,relative,,,242,,,,,,,1,no_anomaly,12.0,0.0814111261872456,12.0,
0.0,0.0,relative,,,243,,,,,,,0,no_anomaly,12.0,0.0,12.0,
0.0,0.0,relative,,,244,,,,,,,1,no_anomaly,12.0,0.08333333333333333,12.0,
0.0,0.0,relative,,,245,,,,,,,1,no_anomaly,12.0,0.07731958762886598,12.0,
0.0,0.0,relative,,,246,,,,,,,0,no_anomaly,12.0,0.0,12.0,
0.0,0.0,relative,,,247,,,,,,,0,no_anomaly,12.0,0.0,12.0,
0.0,0.0,relative,,,248,,,,,,,2,no_anomaly,12.0,0.1606425702811245,12.0,
0.0,0.0,relative,,,249,,,,,,,1,no_anomaly,12.0,0.0819672131147541,12.0,
1.5,240.0,relative,,machine,42,True,13.0,True,19.0,machine,True,0,with_anomaly,15.0,,15.0,
1.5,240.0,relative,,machine,43,True,12.0,True,18.0,machine,True,0,with_anomaly,15.0,,15.0,
1.5,240.0,relative,,machine,44,True,12.0,True,18.0,machine,True,0,with_anomaly,15.0,,15.0,
1.5,240.0,relative,,machine,45,True,21.0,True,27.0,machine,True,0,with_anomaly,15.0,,15.0,
1.5,240.0,relative,,machine,46,True,7.0,True,13.0,machine,True,1,with_anomaly,15.0,,15.0,
1.5,240.0,relative,,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,15.0,,15.0,
1.5,240.0,relative,,machine,48,True,5.0,True,11.0,machine,True,0,with_anomaly,15.0,,15.0,
1.5,240.0,relative,,machine,49,True,11.0,True,17.0,machine,True,0,with_anomaly,15.0,,15.0,
0.0,0.0,relative,,,242,,,,,,,0,no_anomaly,15.0,0.0,15.0,
0.0,0.0,relative,,,243,,,,,,,0,no_anomaly,15.0,0.0,15.0,
0.0,0.0,relative,,,244,,,,,,,0,no_anomaly,15.0,0.0,15.0,
0.0,0.0,relative,,,245,,,,,,,1,no_anomaly,15.0,0.07731958762886598,15.0,
0.0,0.0,relative,,,246,,,,,,,0,no_anomaly,15.0,0.0,15.0,
0.0,0.0,relative,,,247,,,,,,,0,no_anomaly,15.0,0.0,15.0,
0.0,0.0,relative,,,248,,,,,,,1,no_anomaly,15.0,0.08032128514056225,15.0,
0.0,0.0,relative,,,249,,,,,,,1,no_anomaly,15.0,0.0819672131147541,15.0,
1.5,240.0,relative,,machine,42,True,13.0,True,19.0,machine,True,0,with_anomaly,20.0,,20.0,
1.5,240.0,relative,,machine,43,True,14.0,True,20.0,machine,True,0,with_anomaly,20.0,,20.0,
1.5,240.0,relative,,machine,44,True,15.0,True,21.0,machine,True,0,with_anomaly,20.0,,20.0,
1.5,240.0,relative,,machine,45,True,21.0,True,27.0,machine,True,0,with_anomaly,20.0,,20.0,
1.5,240.0,relative,,machine,46,True,8.0,True,14.0,machine,True,0,with_anomaly,20.0,,20.0,
