severity_kw,duration_min,affects,profile,ramp_s,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings
1.5,240,spindle,ramp,1080,48,False,,False,,,,0
1.5,240,spindle,ramp,1080,49,True,27.0,True,33.0,spindle,True,0
1.5,240,spindle,ramp,1080,50,True,18.0,False,,spindle,True,0
1.5,240,spindle,ramp,1080,51,False,,False,,,,0
2.0,240,spindle,ramp,1080,42,True,13.0,True,19.0,spindle,True,0
2.0,240,spindle,ramp,1080,43,True,21.0,True,43.0,spindle,True,0
2.0,240,spindle,ramp,1080,44,True,23.0,True,29.0,spindle,True,0
2.0,240,spindle,ramp,1080,45,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,1080,46,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,1080,47,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,1080,48,False,,False,,,,0
2.0,240,spindle,ramp,1080,49,True,22.0,True,28.0,spindle,True,0
2.0,240,spindle,ramp,1080,50,True,10.0,True,16.0,spindle,True,0
2.0,240,spindle,ramp,1080,51,True,24.0,True,30.0,spindle,True,0
3.0,240,spindle,ramp,1080,42,True,13.0,True,19.0,spindle,True,0
3.0,240,spindle,ramp,1080,43,True,17.0,True,43.0,spindle,True,0
3.0,240,spindle,ramp,1080,44,True,18.0,True,24.0,spindle,True,0
3.0,240,spindle,ramp,1080,45,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,1080,46,True,13.0,True,19.0,spindle,True,0
3.0,240,spindle,ramp,1080,47,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,1080,48,True,16.0,True,22.0,spindle,True,0
3.0,240,spindle,ramp,1080,49,True,18.0,True,24.0,spindle,True,0
3.0,240,spindle,ramp,1080,50,True,10.0,True,16.0,spindle,True,0
3.0,240,spindle,ramp,1080,51,True,18.0,True,24.0,spindle,True,0
4.0,240,spindle,ramp,1080,42,True,13.0,True,19.0,spindle,True,0
4.0,240,spindle,ramp,1080,43,True,16.0,True,22.0,spindle,True,0
4.0,240,spindle,ramp,1080,44,True,15.0,True,21.0,spindle,True,0
4.0,240,spindle,ramp,1080,45,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,1080,46,True,11.0,True,17.0,spindle,True,0
4.0,240,spindle,ramp,1080,47,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,1080,48,True,14.0,True,20.0,spindle,True,0
4.0,240,spindle,ramp,1080,49,True,15.0,True,21.0,spindle,True,0
4.0,240,spindle,ramp,1080,50,True,10.0,True,16.0,spindle,True,0
4.0,240,spindle,ramp,1080,51,True,15.0,True,21.0,spindle,True,0
1.0,240,spindle,ramp,1440,42,False,,False,,,,0
1.0,240,spindle,ramp,1440,43,False,,False,,,,0
1.0,240,spindle,ramp,1440,44,False,,False,,,,0
1.0,240,spindle,ramp,1440,45,False,,False,,,,0
1.0,240,spindle,ramp,1440,46,False,,False,,,,0
1.0,240,spindle,ramp,1440,47,False,,False,,,,0
1.0,240,spindle,ramp,1440,48,False,,False,,,,0
1.0,240,spindle,ramp,1440,49,False,,False,,,,0
1.0,240,spindle,ramp,1440,50,False,,False,,,,0
1.0,240,spindle,ramp,1440,51,False,,False,,,,0
1.5,240,spindle,ramp,1440,42,False,,False,,,,0
1.5,240,spindle,ramp,1440,43,False,,False,,,,0
1.5,240,spindle,ramp,1440,44,False,,False,,,,0
1.5,240,spindle,ramp,1440,45,False,,False,,,,0
1.5,240,spindle,ramp,1440,46,True,29.0,False,,spindle,True,0
1.5,240,spindle,ramp,1440,47,True,21.0,True,27.0,spindle,True,0
1.5,240,spindle,ramp,1440,48,False,,False,,,,0
1.5,240,spindle,ramp,1440,49,True,31.0,False,,spindle,True,0
1.5,240,spindle,ramp,1440,50,False,,False,,,,0
1.5,240,spindle,ramp,1440,51,False,,False,,,,0
2.0,240,spindle,ramp,1440,42,True,20.0,False,,spindle,True,0
2.0,240,spindle,ramp,1440,43,True,37.0,True,43.0,spindle,True,0
2.0,240,spindle,ramp,1440,44,True,26.0,True,32.0,spindle,True,0
